id_product;reference;name
582;00658;"Chroma Ocre 20x20"
583;00659;"Chroma Siena 20x20"
585;00661;"Chroma Coral 20x20"
586;00662;"Chroma Rojo 20x20"
587;00663;"Chroma Aguamarina 20x20"
588;00664;"Chroma Niebla 20x20"
589;00665;"Chroma Basalto 20x20"
590;00666;"Chroma Salvia 20x20"
591;00667;"Chroma Oliva 20x20"
592;00668;"Chroma Botella 20x20"
594;00670;"Vitri Blanco 10x10"
809;00671;"Vitri Blanco Vintage 10x10"
799;00672;"Vitri Arena 10x10"
640;00673;"Vitri Miel 10x10"
595;00674;"Vitri Caramelo 10x10"
800;00675;"Vitri Natural 10x10"
802;00676;"Vitri Rojo 10x10"
596;00677;"Vitri Salvia 10x10"
803;00678;"Vitri Jade 10x10"
804;00679;"Vitri Verde 10x10"
805;00680;"Vitri Botella 10x10"
806;00681;"Vitri Aguamarina 10x10"
597;00682;"Vitri Niebla 10x10"
598;00683;"Vitri Posidonia 10x10"
807;00684;"Vitri Cobalto 10x10"
823;00700;"Vitri Blanco Arabesque"
642;00707;"Vitri Salvia Arabesque"
599;00708;"Vitri Jade Arabesque"
824;00711;"Vitri Aguamarina Arabesque"
825;00713;"Vitri Posidonia Arabesque"
836;00715;"Vitri Blanco Kite"
641;00724;"Vitri Verde Kite"
600;00728;"Vitri Posidonia Kite"
826;00730;"Vitri Blanco Etna"
827;00731;"Vitri Blanco Vintage Etna"
601;00733;"Vitri Miel Etna"
602;00754;"Vitri Verde Diamond"
603;00760;"Zellige Blanco 5x5 Enmallado"
605;00762;"Natural 10x10"
606;00763;"Natural Rústic 10x10"
607;00764;"Natural Gris 10x10"
608;00766;"Natural Hex 10"
609;00770;"Natural 25x25"
610;00771;"Natural Rústic 25x25"
611;00773;"Natural Gris Rústic 25x25"
612;00774;"Natural 7,5x30"
613;00775;"Natural Manual 10x20"
631;00779;"Vitri Blanco Rústico 10x10"
652;00829;"Mapei Ultracolor Plus 133"
651;00830;"Mapei Ultracolor Plus 134"
654;00831;"Mapei Ultracolor Plus 176"
656;00832;"Mapei Ultracolor Plus 169"
657;00833;"Mapei Ultracolor Plus 103"
716;00872;"Bahia-26 Rojo"
764;00880;"Quebec Hueso 29,7x29,7"
765;00881;"Quebec Gris 29,7x29,7"
766;00882;"Quebec Negro 29,7x29,7"
767;00883;"Quebec Verde 29,7x29,7"
768;00884;"Quebec Azul 29,7x29,7"
699;90001;"Piezas especiales - Huella y tablilla 3CM"
272;J-00440;"Mapei Ultracolor Plus 103"
298;J-00456;"Mapei Ultracolor Plus 143"
