id_order;country;state;city;weight;order_status
475;Francia;París;Paris;218.500000;Entregado
476;España;Madrid;Madrid;1.260000;"Recogido por cliente en almacén"
477;España;Barcelona;"Les Rouetes (Sant Pere de Ribes)";559.960000;Entregado
478;España;Madrid;MADRID;101.200000;Entregado
479;España;Gipuzkoa;Azpeitia;7.510000;"Recogido por cliente en almacén"
480;Francia;Loire-Atlantique;"LA CHAPELLE SUR ERDRE";175.320000;Entregado
481;Francia;Morbihan;Questembert;3.560000;Entregado
482;España;València;Valencia;2.170000;Entregado
483;Francia;Gironde;"Bordeaux ";2.720000;Entregado
484;España;Alacant;Villena;6.730000;Entregado
485;España;Cuenca;Cuenca;0.350000;Entregado
486;España;Cantabria;SANTANDER;3.040000;Entregado
487;Francia;Aveyron;Golinhac;285.000000;Entregado
488;España;Sevilla;SEVILLA;829.290000;Entregado
490;España;Navarra;Cordovilla;3.570000;Entregado
491;España;"Ciudad Real";"Ciudad Real";274.360000;Entregado
492;España;Murcia;BULLAS;292.200000;Entregado
493;España;Madrid;LEGANÉS;138.000000;Entregado
494;Francia;Bouches-du-Rhône;Marseille;88.550000;Entregado
495;Francia;París;Paris;3.820000;Entregado
496;España;"A Coruña";"MERA - OLEIROS";2.700000;Entregado
497;España;Madrid;Madrid;114.600000;Entregado
498;España;Barcelona;Barcelona;25.960000;Entregado
499;España;Málaga;Malaga;1.050000;Entregado
500;Francia;Var;"Saint Raphaël ";45.000000;Entregado
501;Francia;Seine-Saint-Denis;Montreuil;113.850000;Entregado
502;Francia;Isère;GRENOBLE;1.090000;Entregado
503;España;Cáceres;"Cuacos de Yuste";46.000000;Entregado
504;España;Barcelona;"L'Hospitalet de Llobregat";9.210000;Entregado
505;Alemania;Bayern;München;56.180000;Entregado
506;España;Málaga;"Alhaurín de la Torre ";42.500000;Entregado
507;Francia;París;"PARIS 75015";2.180000;Entregado
508;España;Cádiz;"Jerez de la frontera";180.500000;Entregado
509;Francia;Gironde;"Bordeaux ";57.000000;Entregado
510;España;València;VALENCIA;0.350000;Entregado
511;España;Cáceres;Cáceres;19.000000;Entregado
512;España;Tarragona;Tortosa;79.000000;"Recogido por cliente en almacén"
513;España;Madrid;Madrid;199.500000;Entregado
514;Francia;Seine-Saint-Denis;"Noisy le Sec";189.750000;Entregado
515;Francia;"Rhin, Bas-";"Illkirch graffenstaden";227.700000;Entregado
516;España;Girona;"Sant Feliu de Guíxols";19.470000;Entregado
517;España;Barcelona;"Lliça De Vall";434.600000;Entregado
518;Francia;París;Paris;1184.500000;Entregado
519;España;Huesca;TOLVA;29.220000;Entregado
520;Francia;París;PARIS;189.930000;Entregado
521;Francia;Indre;CHATEAUROUX;1.600000;Entregado
522;España;Barcelona;Granollers;0.910000;Entregado
523;Francia;Calvados;"Dampierre - Val de drome";0.710000;Entregado
524;España;"Palma de Mallorca";Palma;83.200000;"Recogido por cliente en almacén"
525;España;Málaga;"Alhaurín de la Torre ";8.800000;Entregado
526;España;Málaga;Málaga;3.240000;Entregado
527;España;Madrid;MADRID;175.190000;Entregado
528;España;Madrid;"Las Rozas de mAdrid";2.330000;Entregado
529;España;València;Valencia;6.930000;Entregado
530;España;València;Sagunto;2.050000;Entregado
531;Francia;Bouches-du-Rhône;CHATEAURENARD;416.220000;Entregado
532;España;València;Moncada;0.350000;Prueba
533;España;València;Moncada;0.350000;Prueba
534;España;València;Moncada;0.350000;Prueba
